depot,date,service_number,actual_kms,actual_trips,seat_kms,passenger_kms,occupancy_ratio,revenue
IBRAHIMPATNAM,2026-03-13,231,346,,20780.76,12408.1918,0.5971,16246
HAKIMPET,2026-03-13,232,290,,17412,12097.8576,0.6948,15839
KUKATPALLY,2026-03-13,241,282,,16866.42,7087.269684,0.4202,9279
HAKIMPET,2026-03-13,242,314,,18840,11273.856,0.5984,14759
CONTONMENT,2026-03-13,251,134,,8014.54,8574.756346,1.0699,11226
CONTONMENT,2026-03-13,252,134,,8014.54,6547.87918,0.817,8572
IBRAHIMPATNAM,2026-03-13,252,356,,21381.36,15653.29366,0.7321,20492
KUKATPALLY,2026-03-13,261,124,,7416.44,6444.144716,0.8689,8437
HAKIMPET,2026-03-13,261,292,,17464.52,11435.7677,0.6548,14972
IBRAHIMPATNAM,2026-03-13,262,334,,20053.36,16341.48306,0.8149,21394
CONTONMENT,2026-03-13,271,122,,7296.82,3433.883492,0.4706,4496
HAKIMPET,2026-03-13,272,299,,17952,13320.384,0.742,17438
CONTONMENT,2026-03-13,272,122,,7296.82,6727.66804,0.922,8808
IBRAHIMPATNAM,2026-03-13,281,136,,5899.68,4397.621472,0.7454,6434
CONTONMENT,2026-03-13,281,136,,5820.8,7569.9504,1.3005,11076
IBRAHIMPATNAM,2026-03-13,282,200,,8676,10643.7168,1.2268,15573
CONTONMENT,2026-03-13,282,136,,5820.8,11571.7504,1.988,16931
IBRAHIMPATNAM,2026-03-13,291,133,,5769.54,8633.539656,1.4964,12632
IBRAHIMPATNAM,2026-03-13,292,199,,8632.62,8188.04007,0.9485,11980
HAKIMPET,2026-03-13,301,132,,7894.92,5801.187216,0.7348,7595
IBRAHIMPATNAM,2026-03-13,301,168,,10090.08,10230.33211,1.0139,13393
KUKATPALLY,2026-03-13,302,120,,7177.2,6995.61684,0.9747,9159
HAKIMPET,2026-03-13,302,102,,6100.62,5264.224998,0.8629,6892
IBRAHIMPATNAM,2026-03-13,302,162,,9729.72,8248.856616,0.8478,10799
IBRAHIMPATNAM,2026-03-13,311,174,,10450.44,12416.16776,1.1881,16255
IBRAHIMPATNAM,2026-03-13,312,170,,10210.2,9561.8523,0.9365,12518
CONTONMENT,2026-03-13,321,128,,7655.68,7481.896064,0.9773,9795
CONTONMENT,2026-03-13,322,128,,7655.68,8278.852352,1.0814,10839
IBRAHIMPATNAM,2026-03-13,322,321,,19272.84,16408.89598,0.8514,21483
CONTONMENT,2026-03-13,331,136,,5820.8,7710.81376,1.3247,11282
CONTONMENT,2026-03-13,332,136,,5820.8,8638.0672,1.484,12638
IBRAHIMPATNAM,2026-03-13,332,306,,18372.24,16465.20149,0.8962,21557
CONTONMENT,2026-03-13,341,134,,8014.54,10975.11108,1.3694,14369
HAKIMPET,2026-03-13,341,242,,14474.02,10185.36787,0.7037,13334
CONTONMENT,2026-03-13,342,134,,8014.54,10688.992,1.3337,13994
HAKIMPET,2026-03-13,351,119,,7117.39,4829.149115,0.6785,6322
KUKATPALLY,2026-03-13,352,130,,7775.3,5272.43093,0.6781,6903
HAKIMPET,2026-03-13,352,99,,5921.19,4075.555077,0.6883,5336
IBRAHIMPATNAM,2026-03-13,352,266,,15970.64,14129.22521,0.8847,18497
HAKIMPET,2026-03-13,371,127,,7595.87,5307.993956,0.6988,6949
HAKIMPET,2026-03-13,372,125,,7476.25,5570.553875,0.7451,7293
IBRAHIMPATNAM,2026-03-13,372,297,,17831.88,12680.24987,0.7111,16600
IBRAHIMPATNAM,2026-03-13,381,370,,22222.2,20599.9794,0.927,26970
HAKIMPET,2026-03-13,391,134,,8014.54,6460.520694,0.8061,8458
CONTONMENT,2026-03-13,391,114,,6818.34,7494.037494,1.0991,9811
HAKIMPET,2026-03-13,392,121,,7237.01,5744.014837,0.7937,7520
CONTONMENT,2026-03-13,392,128,,7655.68,4970.833024,0.6493,6508
IBRAHIMPATNAM,2026-03-13,392,286,,17171.44,14477.24106,0.8431,18954
HAKIMPET,2026-03-13,401,254,,15191.74,12274.92592,0.808,16070
IBRAHIMPATNAM,2026-03-13,411,156,,9396.26,9580.426696,1.0196,12543
KUKATPALLY,2026-03-13,411,124,,7416.44,8077.244804,1.0891,10575
IBRAHIMPATNAM,2026-03-13,412,156,,9396.26,6705.171136,0.7136,8779
KUKATPALLY,2026-03-13,412,124,,7416.44,7595.176204,1.0241,9944
IBRAHIMPATNAM,2026-03-13,422,313,,18792.52,16663.32748,0.8867,21816
KUKATPALLY,2026-03-13,431,126,,7536.06,10250.54881,1.3602,13420
IBRAHIMPATNAM,2026-03-13,432,306,,18372.24,17181.71885,0.9352,22495
CONTONMENT,2026-03-13,432,128,,7655.68,5147.679232,0.6724,6739
KUKATPALLY,2026-03-13,432,116,,6937.96,6685.418256,0.9636,8753
HAKIMPET,2026-03-13,441,119,,7117.39,5929.497609,0.8331,7763
HAKIMPET,2026-03-13,442,119,,7117.39,6906.715256,0.9704,9042
CONTONMENT,2026-03-13,442,252,,10785.6,14510.94624,1.3454,21231
HAKIMPET,2026-03-13,451,134,,8014.54,6823.579356,0.8514,8933
IBRAHIMPATNAM,2026-03-13,452,310,,18612.4,12239.51424,0.6576,16024
CONTONMENT,2026-03-13,452,252,,15072.12,16170.87755,1.0729,21170
HAKIMPET,2026-03-13,452,134,,8014.54,6701.758348,0.8362,8774
KUKATPALLY,2026-03-13,045D,296,,12668.8,10383.34848,0.8196,15192
IBRAHIMPATNAM,2026-03-13,461,177,,10630.62,8397.126738,0.7899,10993
HAKIMPET,2026-03-13,461,340,,20394,10329.561,0.5065,13524
CONTONMENT,2026-03-13,462,126,,7536.06,5025.798414,0.6669,6580
IBRAHIMPATNAM,2026-03-13,462,182,,10930.92,9771.149388,0.8939,12793
HAKIMPET,2026-03-13,471,283,,16968,10041.6624,0.5918,13146
IBRAHIMPATNAM,2026-03-13,471,370,,22222.2,19722.2025,0.8875,25821
KUKATPALLY,2026-03-13,472,132,,7894.92,6242.513244,0.7907,8173
CONTONMENT,2026-03-13,472,254,,15191.74,10857.53658,0.7147,14214
CONTONMENT,2026-03-13,481,136,,5820.8,7670.65024,1.3178,11223
CONTONMENT,2026-03-13,482,136,,5820.8,7438.40032,1.2779,10883
KUKATPALLY,2026-03-13,491,277,,16567.37,8659.764299,0.5227,11337
IBRAHIMPATNAM,2026-03-13,492,308,,18492.32,20258.33656,1.0955,26523
HANAMKONDA,2026-03-13,04K1,352,3.94,19374.08,14590.61965,0.7531,15506
HANAMKONDA,2026-03-13,04S1,264,9,16104,12781.7448,0.7937,16734
HAKIMPET,2026-03-13,502,296,,17703.76,9783.097776,0.5526,12809
IBRAHIMPATNAM,2026-03-13,502,281,,16871.24,13496.992,0.8,17671
HAKIMPET,2026-03-13,511,134,,8014.54,4862.421418,0.6067,6366
HAKIMPET,2026-03-13,512,134,,8014.54,8304.666348,1.0362,10872
CONTONMENT,2026-03-13,512,275,,11613.25,13689.6991,1.1788,20029
IBRAHIMPATNAM,2026-03-13,521,338,,20300.28,15824.06826,0.7795,20717
CONTONMENT,2026-03-13,521,126,,7536.06,6493.069296,0.8616,8501
HAKIMPET,2026-03-13,522,292,,17508,9839.496,0.562,12882
CONTONMENT,2026-03-13,522,120,,7177.2,5391.51264,0.7512,7059
HAKIMPET,2026-03-13,532,352,,21053.12,13520.31366,0.6422,17701
IBRAHIMPATNAM,2026-03-13,532,300,,18018,22329.7074,1.2393,29234
CONTONMENT,2026-03-13,541,113,,6758.53,6642.959137,0.9829,8697
CONTONMENT,2026-03-13,542,113,,6758.53,7098.484059,1.0503,9293
HAKIMPET,2026-03-13,551,132,,7894.92,5160.119712,0.6536,6756
CONTONMENT,2026-03-13,551,113,,6758.53,6978.182225,1.0325,9136
KUKATPALLY,2026-03-13,551,296,,12668.8,13269.30112,1.0474,19415
IBRAHIMPATNAM,2026-03-13,551,164,,9846.56,11057.68688,1.123,14477
HAKIMPET,2026-03-13,552,130,,7775.3,8144.62675,1.0475,10663
CONTONMENT,2026-03-13,552,113,,6758.53,6651.069373,0.9841,8708
IBRAHIMPATNAM,2026-03-13,552,152,,9126.08,4834.084576,0.5297,6329
IBRAHIMPATNAM,2026-03-13,562,316,,19002.66,16572.21979,0.8721,21696
IBRAHIMPATNAM,2026-03-13,581,162,,9726.48,9308.24136,0.957,12186
HAKIMPET,2026-03-13,582,292,,17520,10096.776,0.5763,13219
IBRAHIMPATNAM,2026-03-13,582,138,,8285.52,8257.349232,0.9966,10811
KUKATPALLY,2026-03-13,582,129,,7715.49,7164.604014,0.9286,9380
CONTONMENT,2026-03-13,591,113,,6758.53,9381.515493,1.3881,12282
KUKATPALLY,2026-03-13,591,288,,17225.28,14126.45213,0.8201,18494
IBRAHIMPATNAM,2026-03-13,592,321,,19272.84,13290.55046,0.6896,17399
CONTONMENT,2026-03-13,592,113,,6758.53,6782.184855,1.0035,8879
HANAMKONDA,2026-03-13,05C1,127,8,7747,7292.2511,0.9413,9547
HANAMKONDA,2026-03-13,05C2,127,8,7747,9006.6622,1.1626,11792
IBRAHIMPATNAM,2026-03-13,601,204,,12252.24,11264.70946,0.9194,14747
CONTONMENT,2026-03-13,601,126,,5320.98,5758.896654,1.0823,8426
IBRAHIMPATNAM,2026-03-13,602,186,,11171.16,8318.045736,0.7446,10890
CONTONMENT,2026-03-13,602,126,,5320.98,7578.671814,1.4243,11088
KUKATPALLY,2026-03-13,602,120,,5136,5916.1584,1.1519,8656
KUKATPALLY,2026-03-13,611,124,,7416.44,7370.458072,0.9938,9649
KUKATPALLY,2026-03-13,612,124,,7416.44,9056.956528,1.2212,11857
CONTONMENT,2026-03-13,631,113,,6758.53,8377.197935,1.2395,10967
CONTONMENT,2026-03-13,632,113,,6758.53,7627.676958,1.1286,9986
IBRAHIMPATNAM,2026-03-13,641,382,,22942.92,18785.6629,0.8188,24595
CONTONMENT,2026-03-13,641,134,,5658.82,8929.61796,1.578,13065
CONTONMENT,2026-03-13,642,134,,5658.82,6709.662874,1.1857,9817
IBRAHIMPATNAM,2026-03-13,652,397,,23843.82,19959.66172,0.8371,26131
KUKATPALLY,2026-03-13,652,132,,7894.92,7635.966624,0.9672,9997
KUKATPALLY,2026-03-13,671,126,,7536.06,8967.9114,1.19,11741
KUKATPALLY,2026-03-13,672,126,,7536.06,7447.888098,0.9883,9751
KUKATPALLY,2026-03-13,681,126,,7536.06,8053.787322,1.0687,10544
HAKIMPET,2026-03-13,682,296,,17703.76,8646.516384,0.4884,11320
KUKATPALLY,2026-03-13,682,116,,6937.96,6943.510368,1.0008,9090
HANAMKONDA,2026-03-13,06C1,148,10,9028,9960.5924,1.1033,13040
HANAMKONDA,2026-03-13,06C2,148,10,9028,9622.9452,1.0659,12598
KUKATPALLY,2026-03-13,701,124,,5307.2,6888.7456,1.298,10079
IBRAHIMPATNAM,2026-03-13,701,334,,20060.04,18210.50431,0.9078,23840
IBRAHIMPATNAM,2026-03-13,712,296,,17771.84,17235.13043,0.9698,22564
KUKATPALLY,2026-03-13,721,132,,7894.92,6355.4106,0.805,8321
CONTONMENT,2026-03-13,721,136,,5743.28,9943.340664,1.7313,14548
KUKATPALLY,2026-03-13,722,132,,7894.92,7145.692092,0.9051,9355
CONTONMENT,2026-03-13,722,136,,5743.28,7874.611208,1.3711,11521
CONTONMENT,2026-03-13,072D,124,,5236.52,6583.876596,1.2573,9633
IBRAHIMPATNAM,2026-03-13,741,159,,9546.36,9432.758316,0.9881,12349
KUKATPALLY,2026-03-13,742,259,,15490.79,9308.415711,0.6009,12186
IBRAHIMPATNAM,2026-03-13,742,155,,9306.2,11327.50664,1.2172,14830
HAKIMPET,2026-03-13,751,273,,16404,12060.2208,0.7352,15789
KUKATPALLY,2026-03-13,751,296,,12668.8,12388.81952,0.9779,18127
CONTONMENT,2026-03-13,752,122,,7296.82,7533.96665,1.0325,9863
KUKATPALLY,2026-03-13,761,296,,12668.8,11898.53696,0.9392,17409
CONTONMENT,2026-03-13,761,126,,7536.06,6110.237448,0.8108,8000
IBRAHIMPATNAM,2026-03-13,761,384,,23063.04,17677.82016,0.7665,23144
CONTONMENT,2026-03-13,762,126,,7536.06,7058.273796,0.9366,9241
CONTONMENT,2026-03-13,076D,126,,7536.06,6118.527114,0.8119,8010
HAKIMPET,2026-03-13,771,283,,16968,12756.5424,0.7518,16701
CONTONMENT,2026-03-13,771,134,,5658.82,9463.244686,1.6723,13846
CONTONMENT,2026-03-13,772,134,,5658.82,8239.24192,1.456,12055
HAKIMPET,2026-03-13,781,256,,10810.88,9350.330112,0.8649,13680
IBRAHIMPATNAM,2026-03-13,781,362,,21741.72,13921.22332,0.6403,18227
HAKIMPET,2026-03-13,791,243,,10261.89,9842.178699,0.9591,14400
HANAMKONDA,2026-03-13,07C1,127,9,7747,7441.7682,0.9606,9743
HANAMKONDA,2026-03-13,07C2,127,9,7747,6189.0783,0.7989,8103
IBRAHIMPATNAM,2026-03-13,802,344,,20653.76,14083.79894,0.6819,18439
IBRAHIMPATNAM,2026-03-13,811,156,,9396.26,9248.738718,0.9843,12109
IBRAHIMPATNAM,2026-03-13,812,156,,9396.26,8756.374694,0.9319,11464
KUKATPALLY,2026-03-13,821,120,,7177.2,6526.94568,0.9094,8545
KUKATPALLY,2026-03-13,822,120,,7177.2,8265.26352,1.1516,10821
CONTONMENT,2026-03-13,832,122,,5221.6,4729.72528,0.9058,6920
IBRAHIMPATNAM,2026-03-13,841,157,,6810.66,8031.811338,1.1793,11751
IBRAHIMPATNAM,2026-03-13,842,157,,6810.66,7728.736968,1.1348,11308
HAKIMPET,2026-03-13,842,323,,19380,14951.67,0.7715,19575
CONTONMENT,2026-03-13,851,136,,8134.16,9624.338112,1.1832,12600
CONTONMENT,2026-03-13,852,136,,8134.16,10338.51736,1.271,13535
IBRAHIMPATNAM,2026-03-13,852,376,,22582.56,17388.5712,0.77,22765
HAKIMPET,2026-03-13,861,130,,5489.9,3329.07536,0.6064,4871
CONTONMENT,2026-03-13,872,272,,16268.32,14799.2907,0.9097,19375
IBRAHIMPATNAM,2026-03-13,881,176,,10537.02,7617.211758,0.7229,9972
KUKATPALLY,2026-03-13,881,134,,8014.54,7275.599412,0.9078,9525
IBRAHIMPATNAM,2026-03-13,882,156,,9396.26,7017.126968,0.7468,9187
KUKATPALLY,2026-03-13,882,126,,7536.06,5106.434256,0.6776,6685
HANAMKONDA,2026-03-13,08S1,127,8,7747,7759.3952,1.0016,10159
HANAMKONDA,2026-03-13,08S2,110,7.46,6710,8247.261,1.2291,10797
CONTONMENT,2026-03-13,921,134,,5735.2,9937.95456,1.7328,14540
HAKIMPET,2026-03-13,921,142,,8493.02,5732.7885,0.675,7505
HAKIMPET,2026-03-13,922,142,,8493.02,5348.054694,0.6297,7002
CONTONMENT,2026-03-13,922,134,,5735.2,9457.3448,1.649,13837
HAKIMPET,2026-03-13,931,119,,7117.39,4910.287361,0.6899,6429
KUKATPALLY,2026-03-13,932,259,,15490.79,13198.15308,0.852,17279
HAKIMPET,2026-03-13,932,119,,7117.39,7404.220817,1.0403,9694
KUKATPALLY,2026-03-13,941,132,,7894.92,6801.47358,0.8615,8904
KUKATPALLY,2026-03-13,942,132,,7894.92,5887.241844,0.7457,7708
KUKATPALLY,2026-03-13,951,120,,7177.2,8619.8172,1.201,11285
CONTONMENT,2026-03-13,951,107,,6399.67,8381.007832,1.3096,10972
CONTONMENT,2026-03-13,952,107,,6399.67,9358.237441,1.4623,12252
KUKATPALLY,2026-03-13,952,120,,7177.2,8780.58648,1.2234,11496
CONTONMENT,2026-03-13,961,134,,5658.82,11185.78949,1.9767,16366
CONTONMENT,2026-03-13,962,134,,5658.82,11585.86807,2.0474,16951
IBRAHIMPATNAM,2026-03-13,971,374,,22462.44,19739.99227,0.8788,25844
KUKATPALLY,2026-03-13,971,134,,8014.54,7354.141904,0.9176,9628
CONTONMENT,2026-03-13,972,275,,11613.25,18947.01738,1.6315,27722
KUKATPALLY,2026-03-13,972,116,,6937.96,4025.404392,0.5802,5270
IBRAHIMPATNAM,2026-03-13,981,180,,10810.8,9584.85528,0.8866,12548
IBRAHIMPATNAM,2026-03-13,982,180,,10810.8,5860.53468,0.5421,7672
IBRAHIMPATNAM,2026-03-13,991,184,,11051.04,8077.205136,0.7309,10574
CONTONMENT,2026-03-13,992,126,,7536.06,6459.157026,0.8571,8456
IBRAHIMPATNAM,2026-03-13,992,154,,9249.24,5690.132448,0.6152,7450
HANAMKONDA,2026-03-13,09J2,550,4,27819,32653.9422,1.1738,42228
CONTONMENT,2026-03-13,1021,126,,7536.06,7956.572148,1.0558,10417
KUKATPALLY,2026-03-13,1021,126,,5392.8,5705.5824,1.058,8348
CONTONMENT,2026-03-13,1022,126,,7536.06,8175.117888,1.0848,10703
KUKATPALLY,2026-03-13,1022,126,,5392.8,5481.7812,1.0165,8020
CONTONMENT,2026-03-13,1031,126,,7536.06,7388.353224,0.9804,9673
CONTONMENT,2026-03-13,1032,126,,7536.06,10339.47432,1.372,13536
CONTONMENT,2026-03-13,1041,110,,6579.1,7398.19795,1.1245,9686
CONTONMENT,2026-03-13,1042,110,,6579.1,7643.59838,1.1618,10007
HAKIMPET,2026-03-13,1042,318,,19019.58,11185.415,0.5881,14643
HAKIMPET,2026-03-13,1051,278,,16627.18,10222.39026,0.6148,13384
CONTONMENT,2026-03-13,1061,122,,5221.6,6692.00256,1.2816,9791
KUKATPALLY,2026-03-13,1061,132,,7894.92,6578.047344,0.8332,8612
CONTONMENT,2026-03-13,1062,122,,5221.6,9860.46944,1.8884,14427
CONTONMENT,2026-03-13,1071,122,,7296.82,5252.251036,0.7198,6876
HAKIMPET,2026-03-13,1071,252,,15072.12,15275.59362,1.0135,19998
KUKATPALLY,2026-03-13,1071,379,,16301.3,21548.68847,1.3219,31528
CONTONMENT,2026-03-13,1072,122,,7296.82,7584.314708,1.0394,9929
KUKATPALLY,2026-03-13,1081,402,,17205.6,16830.51792,0.9782,24625
HAKIMPET,2026-03-13,1091,356,,21292.36,11500.00364,0.5401,15055
KUKATPALLY,2026-03-13,1091,402,,17205.6,13398.00072,0.7787,19603
IBRAHIMPATNAM,2026-03-13,1101,392,,23543.52,17714.14445,0.7524,23192
KUKATPALLY,2026-03-13,1111,402,,17205.6,18730.01616,1.0886,27404
IBRAHIMPATNAM,2026-03-13,1111,180,,10810.8,12128.63652,1.1219,15879
IBRAHIMPATNAM,2026-03-13,1112,170,,10210.2,6382.39602,0.6251,8356
HAKIMPET,2026-03-13,1121,270,,16148.7,10808.32491,0.6693,14151
KUKATPALLY,2026-03-13,1121,126,,5392.8,7447.4568,1.381,10896
KUKATPALLY,2026-03-13,1122,126,,5392.8,5845.25592,1.0839,8552
KUKATPALLY,2026-03-13,1131,402,,17205.6,14752.08144,0.8574,21583
IBRAHIMPATNAM,2026-03-13,1132,372,,22342.32,18030.25224,0.807,23604
CONTONMENT,2026-03-13,1132,265,,11342,14504.1496,1.2788,21221
KUKATPALLY,2026-03-13,1151,264,,15789.84,9796.016736,0.6204,12825
IBRAHIMPATNAM,2026-03-13,1151,166,,9969.96,9257.10786,0.9285,12120
IBRAHIMPATNAM,2026-03-13,1152,172,,10330.32,5965.7598,0.5775,7811
HAKIMPET,2026-03-13,1161,256,,15311.36,12915.13216,0.8435,16909
IBRAHIMPATNAM,2026-03-13,1171,340,,20420.4,15578.72316,0.7629,20397
IBRAHIMPATNAM,2026-03-13,1182,358,,21501.48,23114.091,1.075,30260
HAKIMPET,2026-03-13,1192,302,,18144,14339.2032,0.7903,18773
HANAMKONDA,2026-03-13,11C1,127,10,7747,11006.9376,1.4208,14410
HANAMKONDA,2026-03-13,11C2,127,10,7747,5615.8003,0.7249,7352
HANAMKONDA,2026-03-13,11S2,308,13,18788,12300.5036,0.6547,16104
KUKATPALLY,2026-03-13,1201,96,,4108.8,3739.82976,0.9102,5472
KUKATPALLY,2026-03-13,1202,124,,5307.2,6292.74704,1.1857,9207
HAKIMPET,2026-03-13,1202,285,,17045.85,13103.1449,0.7687,17155
IBRAHIMPATNAM,2026-03-13,1211,157,,6810.66,7517.606508,1.1038,10999
IBRAHIMPATNAM,2026-03-13,1212,157,,6810.66,5359.98942,0.787,7842
HAKIMPET,2026-03-13,1221,142,,6077.6,5559.18072,0.9147,8134
IBRAHIMPATNAM,2026-03-13,1222,375,,22522.5,17903.13525,0.7949,23440
HAKIMPET,2026-03-13,1222,122,,5221.6,5233.60968,1.0023,7657
CONTONMENT,2026-03-13,1232,358,,21462,15761.6928,0.7344,20636
CONTONMENT,2026-03-13,1241,113,,6758.53,6270.564134,0.9278,8209
HAKIMPET,2026-03-13,1241,256,,10810.88,8881.13792,0.8215,12994
IBRAHIMPATNAM,2026-03-13,1242,370,,22222.2,16857.76092,0.7586,22070
CONTONMENT,2026-03-13,1242,113,,6758.53,5527.125834,0.8178,7236
IBRAHIMPATNAM,2026-03-13,1261,360,,21621.6,18972.954,0.8775,24839
HAKIMPET,2026-03-13,1261,148,,8851.88,5447.446952,0.6154,7132
KUKATPALLY,2026-03-13,1261,131,,7835.11,5034.841686,0.6426,6592
HAKIMPET,2026-03-13,1262,148,,8851.88,8862.502256,1.0012,11603
KUKATPALLY,2026-03-13,1262,131,,7835.11,6578.358356,0.8396,8612
HAKIMPET,2026-03-13,1271,269,,11359.87,11531.40404,1.0151,16871
IBRAHIMPATNAM,2026-03-13,1271,392,,23543.52,13469.24779,0.5721,17634
CONTONMENT,2026-03-13,1281,126,,7536.06,7940.746422,1.0537,10396
KUKATPALLY,2026-03-13,1281,130,,7775.3,7527.26793,0.9681,9855
CONTONMENT,2026-03-13,1282,129,,7715.49,6086.750061,0.7889,7969
KUKATPALLY,2026-03-13,1282,130,,7775.3,6803.3875,0.875,8907
KUKATPALLY,2026-03-13,1291,130,,7775.3,8834.29586,1.1362,11566
KUKATPALLY,2026-03-13,1292,130,,7775.3,4555.54827,0.5859,5964
HANAMKONDA,2026-03-13,12H1,568,4,23248.24,19714.50752,0.848,29046
CONTONMENT,2026-03-13,1301,129,,7715.49,6323.615604,0.8196,8279
HAKIMPET,2026-03-13,1301,312,,18714,11628.8796,0.6214,15225
IBRAHIMPATNAM,2026-03-13,1301,382,,22942.92,16518.9024,0.72,21627
CONTONMENT,2026-03-13,1302,129,,7715.49,6988.690842,0.9058,9150
IBRAHIMPATNAM,2026-03-13,1311,382,,22942.92,23241.17796,1.013,30428
HAKIMPET,2026-03-13,1312,332,,19896,8020.0776,0.4031,10499
KUKATPALLY,2026-03-13,1321,126,,7536.06,8576.03628,1.138,11228
KUKATPALLY,2026-03-13,1322,126,,7536.06,6370.985124,0.8454,8341
